filename,grade_level,f_grade,f_ease,ari,avg_tokenlength,documentlength_token,documentlength_sentence,avg_sentencelength_char,avg_sentencelength_token,slug,Original_Index,os_eng_bertRank,newsela_bertRank,newsela_eng_bert_regression,newsela_mbert_regression,newsela_engbertRank
1.html.txt,1,16.3,42.99,20.6,4.951739452,13510,620,129.3032258,21.79032258,1.html.txt,0,0.9579339,0.99447507,12.078501,12.155389,0.99961853
10.html.txt,1,22.7,26.24,30.6,5.243639529,14936,835,111.1113772,17.88742515,10.html.txt,1,0.9608574,0.99497354,12.154214,12.173339,0.99979085
100.html.txt,1,21.3,30.0,28.0,5.027863217,5527,351,94.26495726,15.74643875,100.html.txt,2,0.9332559,0.99321014,12.126324,12.165865,0.99936706
1000.html.txt,1,12.6,58.05,16.8,4.835071807,6615,348,110.5517241,19.00862069,1000.html.txt,3,0.03908782,0.9882904,12.126219,12.155722,0.99303436
1001.html.txt,1,18.8,31.18,24.1,5.289855072,8901,498,111.9056225,17.87349398,1001.html.txt,4,0.19384712,0.9886402,12.139645,12.173128,0.99981004
1002.html.txt,1,18.8,31.18,24.1,5.289855072,8901,498,111.9056225,17.87349398,1002.html.txt,5,0.19384712,0.9886402,12.139645,12.173128,0.99981004
1003.html.txt,1,18.8,31.18,24.1,5.289855072,8901,498,111.9056225,17.87349398,1003.html.txt,6,0.19384712,0.9886402,12.139645,12.173128,0.99981004
1004.html.txt,1,18.8,31.18,24.1,5.289855072,8901,498,111.9056225,17.87349398,1004.html.txt,7,0.19384712,0.9886402,12.139645,12.173128,0.99981004
1005.html.txt,1,21.3,30.1,27.7,4.98249833,7485,467,95.22055675,16.02783726,1005.html.txt,8,0.9578311,0.98918253,12.146683,12.1721325,0.999729
1006.html.txt,1,21.3,30.1,27.7,4.98249833,7485,467,95.22055675,16.02783726,1006.html.txt,9,0.9578311,0.98918253,12.146683,12.1721325,0.999729
1007.html.txt,1,20.4,32.33,27.3,5.167855184,1823,98,114.122449,18.60204082,1007.html.txt,10,0.9147559,0.9929558,12.097972,12.161249,0.9995659
1008.html.txt,1,17.9,38.83,22.8,4.949246386,3251,163,118.1472393,19.94478528,1008.html.txt,11,0.9635195,0.99441373,12.131886,12.159904,0.9997067
1009.html.txt,1,17.8,44.45,24.0,4.932419836,10728,555,114.1873874,19.32972973,1009.html.txt,12,0.01594957,0.9933201,12.116985,12.149582,0.9983328
101.html.txt,1,21.3,30.0,28.0,5.027863217,5527,351,94.26495726,15.74643875,101.html.txt,13,0.9332559,0.99321014,12.126324,12.165865,0.99936706
1010.html.txt,1,17.8,44.45,24.0,4.932419836,10728,555,114.1873874,19.32972973,1010.html.txt,14,0.01594957,0.9933201,12.116985,12.149582,0.9983328
1011.html.txt,1,17.8,44.45,24.0,4.932419836,10728,555,114.1873874,19.32972973,1011.html.txt,15,0.01594957,0.9933201,12.116985,12.149582,0.9983328
1012.html.txt,1,17.8,44.45,24.0,4.932419836,10728,555,114.1873874,19.32972973,1012.html.txt,16,0.01594957,0.9933201,12.116985,12.149582,0.9983328
1013.html.txt,1,66.8,-88.46,86.0,4.972167372,10635,488,129.307377,21.79303279,1013.html.txt,17,0.8786185,0.9921673,12.143382,12.152314,0.99979144
1014.html.txt,1,18.8,36.49,24.2,4.977937171,11014,534,122.7902622,20.62546816,1014.html.txt,18,0.95491767,0.99329424,12.132898,12.158315,0.99978846
1015.html.txt,1,18.8,36.49,24.2,4.977937171,11014,534,122.7902622,20.62546816,1015.html.txt,19,0.95491767,0.99329424,12.132898,12.158315,0.99978846
1016.html.txt,1,18.8,36.49,24.2,4.977937171,11014,534,122.7902622,20.62546816,1016.html.txt,20,0.95491767,0.99329424,12.132898,12.158315,0.99978846
1017.html.txt,1,20.4,32.33,27.3,5.167855184,1823,98,114.122449,18.60204082,1017.html.txt,21,0.9147559,0.9929558,12.097972,12.161249,0.9995659
1018.html.txt,1,17.8,44.45,24.0,4.932419836,10728,555,114.1873874,19.32972973,1018.html.txt,22,0.01594957,0.9933201,12.116985,12.149582,0.9983328
1019.html.txt,1,18.8,36.49,24.2,4.977937171,11014,534,122.7902622,20.62546816,1019.html.txt,23,0.95491767,0.99329424,12.132898,12.158315,0.99978846
102.html.txt,1,24.5,16.16,30.4,5.060732499,2157,106,122.7075472,20.3490566,102.html.txt,24,0.43347177,0.9934635,12.106668,12.162974,0.99940157
1020.html.txt,1,18.8,36.49,24.2,4.977937171,11014,534,122.7902622,20.62546816,1020.html.txt,25,0.95491767,0.99329424,12.132898,12.158315,0.99978846
1021.html.txt,1,18.8,36.49,24.2,4.977937171,11014,534,122.7902622,20.62546816,1021.html.txt,26,0.95491767,0.99329424,12.132898,12.158315,0.99978846
1022.html.txt,1,21.3,30.1,27.7,4.98249833,7485,467,95.22055675,16.02783726,1022.html.txt,27,0.9578311,0.98918253,12.146683,12.1721325,0.999729
1023.html.txt,1,21.3,30.1,27.7,4.98249833,7485,467,95.22055675,16.02783726,1023.html.txt,28,0.9578311,0.98918253,12.146683,12.1721325,0.999729
