filename,grade_level,f_grade,f_ease,ari,avg_tokenlength,documentlength_token,documentlength_sentence,avg_sentencelength_char,avg_sentencelength_token,slug,Original_Index,newsela_bertRank,newsela_bert_regression,os_eng_bertRank,os_eng_bert_regression
1.html.txt,1,16.1,48.91,22.4,5.065435786043986,3683,150,148.58,24.55333333333333,1,0,0.9257324,9.403281,0.026266893,1.7349199
10.html.txt,1,18.3,43.13,27.3,5.472066706372841,8395,333,162.75975975975976,25.21021021021021,10,1,0.12313345,9.750784,0.019206231,1.9371107
100.html.txt,1,16.3,48.51,22.6,5.059052059052059,3861,159,146.8238993710692,24.28301886792453,100,2,0.7777523,8.124873,0.050487395,1.8049103
1000.html.txt,1,15.2,51.25,22.1,5.2282497441146365,1954,88,137.92045454545453,22.204545454545453,1000,3,0.93907464,9.082937,0.47006452,1.8761197
1001.html.txt,1,18.7,42.21,26.6,5.221608129791407,5609,224,155.38839285714286,25.040178571428573,1001,4,0.89316076,9.103241,0.62721646,1.8505394
1002.html.txt,1,18.7,42.21,26.6,5.221608129791407,5609,224,155.38839285714286,25.040178571428573,1002,5,0.89316076,9.103241,0.62721646,1.8505394
1003.html.txt,1,18.7,42.21,26.6,5.221608129791407,5609,224,155.38839285714286,25.040178571428573,1003,6,0.89316076,9.103241,0.62721646,1.8505394
1004.html.txt,1,18.7,42.21,26.6,5.221608129791407,5609,224,155.38839285714286,25.040178571428573,1004,7,0.89316076,9.103241,0.62721646,1.8505394
1005.html.txt,1,15.4,50.74,22.2,5.186130846654826,13512,570,146.29473684210527,23.705263157894738,1005,8,0.8367476,8.690226,0.055287626,1.9133359
1006.html.txt,1,15.4,50.74,22.2,5.186130846654826,13512,570,146.29473684210527,23.705263157894738,1006,9,0.8367476,8.690226,0.055287626,1.9133359
1007.html.txt,1,16.4,53.62,25.3,5.209844559585492,1158,74,96.56756756756756,15.64864864864865,1007,10,0.79721445,8.946767,0.049721465,1.0508142
1008.html.txt,1,14.5,53.17,20.6,5.131353941557832,10643,459,141.88671023965142,23.18736383442266,1008,11,0.95763874,10.024505,0.89941925,1.7237947
1009.html.txt,1,16.0,49.22,22.5,5.076845999691691,12974,577,136.26169844020797,22.48526863084922,1009,12,0.96152043,9.078812,0.015357653,1.4414741
101.html.txt,1,16.3,48.51,22.6,5.059052059052059,3861,159,146.8238993710692,24.28301886792453,101,13,0.7777523,8.124873,0.050487395,1.8049103
1010.html.txt,1,16.0,49.22,22.5,5.076845999691691,12974,577,136.26169844020797,22.48526863084922,1010,14,0.96152043,9.078812,0.015357653,1.4414741
1011.html.txt,1,16.0,49.22,22.5,5.076845999691691,12974,577,136.26169844020797,22.48526863084922,1011,15,0.96152043,9.078812,0.015357653,1.4414741
1012.html.txt,1,16.0,49.22,22.5,5.076845999691691,12974,577,136.26169844020797,22.48526863084922,1012,16,0.96152043,9.078812,0.015357653,1.4414741
1013.html.txt,1,14.3,53.68,20.9,5.2793,10000,380,165.05526315789473,26.31578947368421,1013,17,0.69376135,9.221578,0.096130714,1.744188
1014.html.txt,1,13.3,56.12,20.2,5.319065190651907,4065,189,135.62433862433863,21.50793650793651,1014,18,0.8754335,9.271946,0.072241604,1.8217628
1015.html.txt,1,13.3,56.12,20.2,5.319065190651907,4065,189,135.62433862433863,21.50793650793651,1015,19,0.8754335,9.271946,0.072241604,1.8217628
1016.html.txt,1,13.3,56.12,20.2,5.319065190651907,4065,189,135.62433862433863,21.50793650793651,1016,20,0.8754335,9.271946,0.072241604,1.8217628
1017.html.txt,1,16.4,53.62,25.3,5.209844559585492,1158,74,96.56756756756756,15.64864864864865,1017,21,0.79721445,8.946767,0.049721465,1.0508142
1018.html.txt,1,16.0,49.22,22.5,5.076845999691691,12974,577,136.26169844020797,22.48526863084922,1018,22,0.96152043,9.078812,0.015357653,1.4414741
1019.html.txt,1,13.3,56.12,20.2,5.319065190651907,4065,189,135.62433862433863,21.50793650793651,1019,23,0.8754335,9.271946,0.072241604,1.8217628
102.html.txt,1,23.4,24.41,30.5,5.119946349875455,5219,168,189.7202380952381,31.06547619047619,102,24,0.86622,8.60258,0.05307389,1.5368159
1020.html.txt,1,13.3,56.12,20.2,5.319065190651907,4065,189,135.62433862433863,21.50793650793651,1020,25,0.8754335,9.271946,0.072241604,1.8217628
1021.html.txt,1,13.3,56.12,20.2,5.319065190651907,4065,189,135.62433862433863,21.50793650793651,1021,26,0.8754335,9.271946,0.072241604,1.8217628
1022.html.txt,1,15.4,50.74,22.2,5.186130846654826,13512,570,146.29473684210527,23.705263157894738,1022,27,0.8367476,8.690226,0.055287626,1.9133359
1023.html.txt,1,15.4,50.74,22.2,5.186130846654826,13512,570,146.29473684210527,23.705263157894738,1023,28,0.8367476,8.690226,0.055287626,1.9133359
1024.html.txt,1,15.4,50.74,22.2,5.186130846654826,13512,570,146.29473684210527,23.705263157894738,1024,29,0.8367476,8.690226,0.055287626,1.9133359
1025.html.txt,1,8.3,69.11,13.1,4.318181818181818,22,3,38.66666666666666,7.333333333333333,1025,30,0.71081024,6.1758375,0.01885509,0.5228017
1026.html.txt,1,8.3,69.11,13.1,4.318181818181818,22,3,38.66666666666666,7.333333333333333,1026,31,0.71081024,6.1758375,0.01885509,0.5228017
1027.html.txt,1,10.1,64.64,16.1,5.317725752508361,897,55,102.69090909090907,16.30909090909091,1027,32,0.87758785,7.0962963,0.03045505,1.1227887
1028.html.txt,1,10.1,64.64,16.1,5.317725752508361,897,55,102.69090909090907,16.30909090909091,1028,33,0.87758785,7.0962963,0.03045505,1.1227887
1029.html.txt,1,15.0,51.86,22.0,5.194780394653087,1571,91,106.45054945054945,17.263736263736263,1029,34,0.89859056,8.24199,0.93734515,1.5275143
103.html.txt,1,21.6,34.6,30.5,5.244707347447074,1606,65,153.7846153846154,24.70769230769231,103,35,0.88571024,10.038932,0.026367854,1.526906
1030.html.txt,1,15.0,51.86,22.0,5.194780394653087,1571,91,106.45054945054945,17.263736263736263,1030,36,0.89859056,8.24199,0.93734515,1.5275143
1031.html.txt,1,20.2,32.74,29.1,5.614885265700483,6624,326,133.92638036809817,20.31901840490797,1031,37,0.53569686,9.266723,0.101795025,1.8599617
1032.html.txt,1,20.2,32.74,29.1,5.614885265700483,6624,326,133.92638036809817,20.31901840490797,1032,38,0.53569686,9.266723,0.101795025,1.8599617
1033.html.txt,1,20.2,32.74,29.1,5.614885265700483,6624,326,133.92638036809817,20.31901840490797,1033,39,0.53569686,9.266723,0.101795025,1.8599617
1034.html.txt,1,16.0,43.7,22.4,5.350333651096282,2098,97,136.98969072164948,21.628865979381445,1034,40,0.8218979,8.439718,0.838438,1.8571249
1035.html.txt,1,15.8,49.83,22.5,5.191131055780738,20724,816,156.92892156862746,25.397058823529413,1035,41,0.95536083,8.799012,0.01863762,1.7826588
1036.html.txt,1,20.2,32.74,29.1,5.614885265700483,6624,326,133.92638036809817,20.31901840490797,1036,42,0.53569686,9.266723,0.101795025,1.8599617
1037.html.txt,1,20.2,32.74,29.1,5.614885265700483,6624,326,133.92638036809817,20.31901840490797,1037,43,0.53569686,9.266723,0.101795025,1.8599617
1038.html.txt,1,13.3,56.32,20.0,5.280384189139268,2707,149,113.67785234899328,18.16778523489933,1038,44,0.95048887,8.829279,0.018060103,1.6107018
1039.html.txt,1,13.3,56.32,20.0,5.280384189139268,2707,149,113.67785234899328,18.16778523489933,1039,45,0.95048887,8.829279,0.018060103,1.6107018
104.html.txt,1,15.9,49.42,23.2,5.157391725139124,8266,360,140.975,22.961111111111112,104,46,0.94993013,9.164341,0.18672402,1.4538131
1040.html.txt,1,14.7,52.57,22.8,5.473980309423348,711,41,111.7560975609756,17.341463414634145,1040,47,0.7067348,7.853272,0.023455584,1.6237222
1041.html.txt,1,14.7,52.57,22.8,5.473980309423348,711,41,111.7560975609756,17.341463414634145,1041,48,0.7067348,7.853272,0.023455584,1.6237222
1042.html.txt,1,14.7,52.57,22.8,5.473980309423348,711,41,111.7560975609756,17.341463414634145,1042,49,0.7067348,7.853272,0.023455584,1.6237222
1043.html.txt,1,14.7,52.57,22.8,5.473980309423348,711,41,111.7560975609756,17.341463414634145,1043,50,0.7067348,7.853272,0.023455584,1.6237222
1044.html.txt,1,15.8,49.83,23.0,5.245724059293044,1754,101,107.97029702970298,17.366336633663366,1044,51,0.6193772,7.862052,0.041262913,1.4253017
1045.html.txt,1,20.1,33.25,27.8,5.2992518703241895,802,31,162.5806451612903,25.870967741935484,1045,52,0.043115944,8.825115,0.024522178,1.3755699
1046.html.txt,1,20.1,33.25,27.8,5.2992518703241895,802,31,162.5806451612903,25.870967741935484,1046,53,0.043115944,8.825115,0.024522178,1.3755699
1047.html.txt,1,18.4,43.02,25.1,4.91948658109685,857,50,100.88,17.14,1047,54,0.95858324,10.342441,0.9586985,1.6515996
1048.html.txt,1,12.1,53.85,16.9,5.320906515580736,8825,396,140.75,22.285353535353536,1048,55,0.15575549,7.997866,0.029767562,1.65788
1049.html.txt,1,16.4,53.51,24.3,4.9979035639413,954,44,129.5681818181818,21.681818181818183,1049,56,0.8281255,10.687374,0.0189917,1.8701267
105.html.txt,1,14.1,54.09,20.5,5.204872064493515,5706,236,149.70762711864407,24.17796610169492,105,57,0.9103622,8.872941,0.16605209,1.685646
1050.html.txt,1,11.5,60.79,18.1,5.3792382510680845,11001,563,124.38188277087032,19.539964476021314,1050,58,0.88416666,9.082823,0.045406632,1.9231979
1051.html.txt,1,11.5,60.79,18.1,5.3792382510680845,11001,563,124.38188277087032,19.539964476021314,1051,59,0.88416666,9.082823,0.045406632,1.9231979
1052.html.txt,1,12.4,58.55,18.6,5.18480441323972,3988,234,105.02564102564102,17.042735042735043,1052,60,0.6211645,9.979904,0.03239939,1.7035656
1053.html.txt,1,12.4,58.55,18.6,5.18480441323972,3988,234,105.02564102564102,17.042735042735043,1053,61,0.6211645,9.979904,0.03239939,1.7035656
1054.html.txt,1,12.4,58.55,18.6,5.18480441323972,3988,234,105.02564102564102,17.042735042735043,1054,62,0.6211645,9.979904,0.03239939,1.7035656
1055.html.txt,1,12.4,58.55,18.6,5.18480441323972,3988,234,105.02564102564102,17.042735042735043,1055,63,0.6211645,9.979904,0.03239939,1.7035656
1056.html.txt,1,17.1,46.37,24.2,5.174034334763949,4660,189,151.8148148148148,24.65608465608465,1056,64,0.6047156,8.476614,0.8353275,1.3074851
1057.html.txt,1,11.9,59.77,17.7,5.164301717699776,1339,77,106.87012987012989,17.38961038961039,1057,65,0.045627207,8.285152,0.03400506,1.1265355
1058.html.txt,1,11.9,59.77,17.7,5.164301717699776,1339,77,106.87012987012989,17.38961038961039,1058,66,0.045627207,8.285152,0.03400506,1.1265355
1059.html.txt,1,14.1,54.09,20.5,5.19605572643387,27635,1134,150.72927689594357,24.3694885361552,1059,67,0.8405319,8.568875,0.068509854,1.2994059
106.html.txt,1,15.2,51.35,22.4,5.077877410637514,8141,376,131.18085106382978,21.65159574468085,106,68,0.96252364,9.549202,0.8220445,1.4383231
1060.html.txt,1,18.5,47.93,25.9,4.792096219931271,582,26,129.07692307692307,22.384615384615383,1060,69,0.94074214,8.615078,0.9464162,1.0521386
